Open,High,Low,Close,TickVolume
1.21725,1.21774,1.21488,1.21536,7434
1.21536,1.21571,1.2111,1.21191,18912
1.21191,1.21387,1.20931,1.21013,26531
1.21012,1.21174,1.2004,1.20072,28302
1.20072,1.20635,1.19758,1.20456,39710
1.20453,1.2107,1.20367,1.20932,12715
1.2097,1.21208,1.20947,1.21056,9775
1.21056,1.21086,1.20839,1.20927,18781
1.20927,1.21269,1.20909,1.21222,17538
1.21222,1.21652,1.21079,1.21533,19169
1.21533,1.2161,1.20958,1.21113,17440
1.21109,1.2113,1.20966,1.2104,4922
1.21064,1.2118,1.20963,1.21103,12049
1.21104,1.21221,1.20976,1.21127,12461
1.21123,1.21254,1.20427,1.20439,26182
1.20439,1.20568,1.19597,1.19695,33249
1.19696,1.19725,1.18986,1.19241,36365
1.19242,1.19594,1.1917,1.19561,16130
1.19541,1.19648,1.19248,1.19643,8809
1.19643,1.19719,1.19266,1.1935,18873
1.1935,1.19896,1.19109,1.196,27232
1.19601,1.19634,1.18757,1.18973,34668
1.18971,1.19407,1.18859,1.19096,46031
1.19096,1.19449,1.1908,1.19226,23909
1.19192,1.19298,1.19082,1.19251,10638
1.19254,1.19531,1.19146,1.19475,12331
1.19477,1.19943,1.19334,1.19693,25663
1.19694,1.20237,1.19551,1.1964,31779
1.19639,1.20142,1.19481,1.20081,32475
1.20087,1.20297,1.19964,1.20208,11577
1.20194,1.20515,1.20106,1.20495,8184
1.20495,1.20561,1.19962,1.20142,18497
1.20143,1.20144,1.19192,1.19349,27730
1.19349,1.20299,1.19278,1.19867,33166
1.19868,1.20485,1.19716,1.20192,33957
1.20192,1.20351,1.20119,1.20333,11855
1.19989,1.20363,1.19989,1.20081,9892
1.20083,1.20091,1.19765,1.19877,10676
1.19877,1.19894,1.19534,1.19665,19801
1.19664,1.19774,1.19074,1.19231,25126
1.19231,1.19232,1.18665,1.18831,36474
1.18828,1.19096,1.18803,1.18912,15161
1.18906,1.19099,1.18838,1.18922,11474
1.18923,1.18934,1.18596,1.18642,22135
1.18644,1.18737,1.18075,1.183,33164
1.18299,1.18823,1.18128,1.18591,31178
1.18587,1.1916,1.18587,1.19105,33549
1.19104,1.19131,1.18818,1.18861,12724
1.18832,1.18903,1.1874,1.18789,9296
1.18789,1.1919,1.18698,1.19012,16303
1.19012,1.19364,1.18764,1.18905,29643
1.18904,1.19471,1.18272,1.18556,33125
